id,name,type,specimen_id,plane_of_section_id,failed,section_thickness,qc_date,expression,storage_directory,reference_space_id,weight,sphinx_id,rnaseq_design_id,red_channel,green_channel,blue_channel,delegate,failed_facet
75144622,,SectionDataSet,74899350,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75144622/,9,5270,86342,,,,,f,734881840
79490112,,SectionDataSet,79322576,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79490112/,9,5270,81224,,,,,f,734881840
75041442,,SectionDataSet,74833955,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75041442/,9,5270,136097,,,,,f,734881840
356493,,SectionDataSet,83995,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_356493/,9,5270,103974,,,,,f,734881840
77280331,,SectionDataSet,77232687,1,f,25,02/05/09 22:32,t,/external/aibssan/production32/prod343/image_series_77280331/,9,5470,160539,,,,,f,734881840
73718047,,SectionDataSet,71478353,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod338/image_series_73718047/,9,5270,77734,,,,,f,734881840
71016666,,SectionDataSet,70379960,1,f,25,02/05/09 22:55,t,/external/aibssan/production32/prod334/image_series_71016666/,9,5470,73327,,,,,f,734881840
75041444,,SectionDataSet,74834097,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75041444/,9,5270,165237,,,,,f,734881840
74274686,,SectionDataSet,72967192,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod339/image_series_74274686/,9,5270,95030,,,,,f,734881840
75038485,,SectionDataSet,74833951,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75038485/,9,5270,30111,,,,,f,734881840
71015205,,SectionDataSet,70298669,1,f,25,02/05/09 22:55,t,/external/aibssan/production32/prod334/image_series_71015205/,9,5270,45817,,,,,f,734881840
71247671,,SectionDataSet,70429625,1,f,25,02/05/09 22:56,t,/external/aibssan/production32/prod334/image_series_71247671/,9,5270,25196,,,,,f,734881840
74047829,,SectionDataSet,72147817,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod339/image_series_74047829/,9,5270,97201,,,,,f,734881840
71015387,,SectionDataSet,70298629,1,f,25,02/05/09 22:55,t,/external/aibssan/production32/prod334/image_series_71015387/,9,5270,49376,,,,,f,734881840
74750015,,SectionDataSet,74495210,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74750015/,9,5470,160330,,,,,f,734881840
70431433,,SectionDataSet,69619376,1,f,25,02/05/09 22:52,t,/external/aibssan/production32/prod331/image_series_70431433/,9,5270,101040,,,,,f,734881840
357103,,SectionDataSet,84015,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_357103/,9,5470,35289,,,,,f,734881840
72080065,,SectionDataSet,71203592,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72080065/,9,5270,50332,,,,,f,734881840
74957910,,SectionDataSet,74741176,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74957910/,9,5270,91023,,,,,f,734881840
71670740,,SectionDataSet,70929707,1,f,25,02/05/09 22:58,t,/external/aibssan/production32/prod337/image_series_71670740/,9,5270,21739,,,,,f,734881840
75934920,,SectionDataSet,75428042,1,f,25,02/05/09 23:07,t,/external/aibssan/production32/prod343/image_series_75934920/,9,5270,107400,,,,,f,734881840
72129244,,SectionDataSet,71250776,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72129244/,9,5270,87209,,,,,f,734881840
75042266,,SectionDataSet,74865111,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75042266/,9,5270,82388,,,,,f,734881840
73512189,,SectionDataSet,71392961,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73512189/,9,5270,163582,,,,,f,734881840
74512017,,SectionDataSet,73633888,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74512017/,9,5270,40031,,,,,f,734881840
70928306,,SectionDataSet,70220565,1,f,25,02/05/09 22:54,t,/external/aibssan/production32/prod333/image_series_70928306/,9,5270,104334,,,,,f,734881840
79556638,,SectionDataSet,79338773,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79556638/,9,5270,2926,,,,,f,734881840
655307,,SectionDataSet,104456,1,f,25,02/05/09 22:37,t,/external/aibssan/production32/prod319/image_series_655307/,9,5270,4968,,,,,f,734881840
74425516,,SectionDataSet,73540630,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod340/image_series_74425516/,9,5270,94103,,,,,f,734881840
79591577,,SectionDataSet,79355626,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79591577/,9,5270,67304,,,,,f,734881840
75651192,,SectionDataSet,75064058,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75651192/,9,5270,63036,,,,,f,734881840
74957908,,SectionDataSet,74703375,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74957908/,9,5270,81890,,,,,f,734881840
